Id,PlayerName,MatchesPlayed,Inns,NO,Runs,HighestScore,StrikeRate,Hundred,Fifty,Fours,Sixes,Wickets
112,Harpreet Brar,5,3,0,22,14,88,0,0,1,2,4
113,Mitchell Santner,6,4,2,22,11,81.48,0,0,3,0,4
114,Arshdeep Singh,14,6,3,21,10,72.41,0,0,3,0,10
115,B Indrajith,3,3,0,21,15,70,0,0,2,0,0
116,Manan Vohra,2,1,0,19,19,172.72,0,0,1,2,0
117,Vijay Shankar,4,4,0,19,13,54.28,0,0,1,0,0
118,Mandeep Singh,3,3,0,18,18,78.26,0,0,4,0,0
119,Josh Hazlewood,12,5,5,18,7,69.23,0,0,1,0,20
120,David Willey,4,2,0,18,18,60,0,0,3,0,1
121,Karun Nair,3,2,0,16,13,88.88,0,0,1,0,0
122,Simran Singh,1,1,0,14,14,127.27,0,0,2,0,0
123,Anmolpreet Singh,2,2,0,13,8,100,0,0,1,0,0
124,Murugan Ashwin,8,5,2,12,6,85.71,0,0,1,1,9
125,Varun Chakaravarthy,11,4,4,12,10,66.66,0,0,2,0,6
126,Chris Jordan,4,2,1,11,6,137.5,0,0,0,0,2
127,Rajangad Bawa,2,2,0,11,11,78.57,0,0,1,0,0
128,Shreyas Gopal,1,1,1,9,9,128.57,0,0,2,0,1
129,Marco Jansen,8,3,2,9,8,128.57,0,0,0,1,7
130,Obed McCoy,7,1,0,8,8,160,0,0,0,1,11
131,Srikar Bharat,2,2,0,8,8,114.28,0,0,2,0,0
132,Fabian Allen,1,1,0,8,8,114.28,0,0,1,0,1
133,Sean Abbott,1,1,0,7,7,140,0,0,0,1,1
134,Rasikh Salam,2,1,0,7,7,116.66,0,0,1,0,0
135,Kartik Tyagi,2,2,0,7,7,116.66,0,0,1,0,1
136,Maheesh Theekshana,9,2,1,7,7,100,0,0,0,1,12
137,Simarjeet Singh,6,3,2,7,3,87.5,0,0,0,0,4
138,Ripal Patel,2,1,0,6,6,200,0,0,0,1,0
139,Mukesh Choudhary,13,2,1,6,4,100,0,0,1,0,16
140,Prasidh Krishna,17,3,2,6,4,50,0,0,0,0,19
141,Aman Khan,1,1,0,5,5,166.66,0,0,1,0,0
142,Lockie Ferguson,13,3,1,5,5,125,0,0,1,0,12
143,Alzarri Joseph,9,3,2,5,4,71.42,0,0,0,0,7
144,Yuzvendra Chahal,17,2,1,5,5,62.5,0,0,0,0,27
145,Vaibhav Arora,5,4,2,5,2,38.46,0,0,0,0,3
146,Prerak Mankad,1,1,1,4,4,400,0,0,1,0,0
147,Karan Sharma,1,1,0,4,4,100,0,0,1,0,0
148,Abdul Samad,2,2,0,4,4,57.14,0,0,0,0,0
149,Abhijeet Tomar,1,1,0,4,4,50,0,0,1,0,0
150,Umran Malik,14,4,3,4,3,50,0,0,0,0,22
151,Mustafizur Rahman,8,1,1,3,3,60,0,0,0,0,8
152,Kumar Kartikeya Singh,4,1,0,3,3,60,0,0,0,0,5
153,Shivam Mavi,6,3,1,3,2,42.85,0,0,0,0,5
154,Harshit Rana,2,2,1,2,2,100,0,0,0,0,1
155,Navdeep Saini,2,1,0,2,2,100,0,0,0,0,3
156,Tristan Stubbs,2,2,0,2,2,50,0,0,0,0,0
157,Pradeep Sangwan,3,1,0,2,2,40,0,0,0,0,3
158,Fazalhaq Farooqi,3,1,1,2,2,25,0,0,0,0,2
159,Jagadeesha Suchith,5,2,0,2,2,25,0,0,0,0,7
160,Tim Southee,9,5,1,2,1,16.66,0,0,0,0,14
161,Nathan Coulter-Nile,1,1,1,1,1,50,0,0,0,0,0
162,Anrich Nortje,6,1,1,1,1,16.66,0,0,0,0,9
163,Mohammad Shami,0,0,0,0,0,0,0,0,0,0,20
164,T Natarajan,0,0,0,0,0,0,0,0,0,0,18
165,Khaleel Ahmed,0,0,0,0,0,0,0,0,0,0,16
166,Jasprit Bumrah,0,0,0,0,0,0,0,0,0,0,15
167,Ravi Bishnoi,0,0,0,0,0,0,0,0,0,0,13
168,Yash Dayal,0,0,0,0,0,0,0,0,0,0,11
169,Riley Meredith,0,0,0,0,0,0,0,0,0,0,8
170,Kuldeep Sen,0,0,0,0,0,0,0,0,0,0,8
171,Sai Kishore,0,0,0,0,0,0,0,0,0,0,6
172,Tymal Mills,0,0,0,0,0,0,0,0,0,0,6
173,Krishnappa Gowtham,0,0,0,0,0,0,0,0,0,0,5
174,Basil Thampi,0,0,0,0,0,0,0,0,0,0,5
175,Akash Deep,0,0,0,0,0,0,0,0,0,0,5
176,Chetan Sakariya,0,0,0,0,0,0,0,0,0,0,3
177,Nathan Ellis,0,0,0,0,0,0,0,0,0,0,3
178,Prashant Solanki,0,0,0,0,0,0,0,0,0,0,2
179,Matheesha Pathirana,0,0,0,0,0,0,0,0,0,0,2
180,Sandeep Sharma,0,0,0,0,0,0,0,0,0,0,2
181,Andrew Tye,0,0,0,0,0,0,0,0,0,0,2
182,Varun Aaron,0,0,0,0,0,0,0,0,0,0,2
183,Darshan Nalkande,0,0,0,0,0,0,0,0,0,0,2
184,Anukul Roy,0,0,0,0,0,0,0,0,0,0,1
185,Mayank Markande,0,0,0,0,0,0,0,0,0,0,1
186,Tushar Deshpande,0,0,0,0,0,0,0,0,0,0,1
